country,region,happiness_score,gdp_per_capita,social_support,life_expectancy,freedom,generosity,corruption,year,region_avg_happiness,region_avg_gdp,happiness_vs_region,happiness_zscore
Sierra Leone,Sub-Saharan Africa,4.507,0.33024,0.95571,0.0,0.4084,0.21488,0.08786,2015,4.2028,0.380473,0.3041999999999998,-0.8279537047691979
Mauritania,Sub-Saharan Africa,4.436,0.45407,0.86908,0.35874,0.24232,0.219,0.17461,2015,4.2028,0.380473,0.23320000000000007,-0.8916361295960246
Kenya,Sub-Saharan Africa,4.419,0.36471,0.99876,0.41435,0.42215,0.37542,0.05839,2015,4.2028,0.380473,0.21619999999999973,-0.9068840341320256
Djibouti,Sub-Saharan Africa,4.369,0.44025,0.59207,0.36291,0.46074,0.18093,0.28105,2015,4.2028,0.380473,0.1661999999999999,-0.9517308121790866
Armenia,Central and Eastern Europe,4.35,0.76821,0.77711,0.7299,0.19847,0.07855,0.039,2015,5.332931034482758,0.942438275862069,-0.9829310344827586,-0.96877258783697
Botswana,Sub-Saharan Africa,4.332,0.99355,1.10464,0.04776,0.49495,0.10461,0.12474,2015,4.2028,0.380473,0.12919999999999998,-0.9849174279339118
Myanmar,Southeastern Asia,4.307,0.27108,0.70905,0.48246,0.44017,0.79588,0.19034,2015,5.317444444444444,0.7890544444444445,-1.0104444444444436,-1.0073408169574418
Georgia,Central and Eastern Europe,4.297,0.7419,0.38562,0.72926,0.40577,0.05547,0.38331,2015,5.332931034482758,0.942438275862069,-1.0359310344827586,-1.0163101725668549
Malawi,Sub-Saharan Africa,4.292,0.01604,0.41134,0.22562,0.43054,0.33128,0.06977,2015,4.2028,0.380473,0.08919999999999995,-1.0207948503715607
Sri Lanka,Southern Asia,4.271,0.83524,1.01905,0.70806,0.53726,0.40828,0.09179,2015,4.580857142857143,0.5604857142857143,-0.30985714285714305,-1.0396304971513264
Cameroon,Sub-Saharan Africa,4.252,0.4225,0.88767,0.23402,0.49309,0.20618,0.05786,2015,4.2028,0.380473,0.04919999999999991,-1.0566722728092097
Bulgaria,Central and Eastern Europe,4.218,1.01216,1.10614,0.76649,0.30587,0.11921,0.00872,2015,5.332931034482758,0.942438275862069,-1.1149310344827583,-1.087168081881211
Egypt,Middle East and Northern Africa,4.194,0.8818,0.747,0.61712,0.17288,0.11291,0.06324,2015,5.406899999999999,1.0669735,-1.2128999999999994,-1.1086945353438005
Yemen,Middle East and Northern Africa,4.077,0.54649,0.68093,0.40064,0.35571,0.09131,0.07854,2015,5.406899999999999,1.0669735,-1.3298999999999994,-1.2136359959739236
Angola,Sub-Saharan Africa,4.033,0.75778,0.8604,0.16683,0.10384,0.12344,0.07122,2015,4.2028,0.380473,-0.1697999999999995,-1.253101160655337
Mali,Sub-Saharan Africa,3.995,0.26074,1.03526,0.20583,0.38857,0.18798,0.12352,2015,4.2028,0.380473,-0.20779999999999976,-1.2871847119711037
Congo (Brazzaville),Sub-Saharan Africa,3.989,0.67866,0.6629,0.31051,0.41466,0.12388,0.11686,2015,4.2028,0.380473,-0.2138,-1.2925663253367514
Comoros,Sub-Saharan Africa,3.956,0.23906,0.79273,0.36315,0.22917,0.17441,0.199,2015,4.2028,0.380473,-0.2467999999999999,-1.3221651988478116
Uganda,Sub-Saharan Africa,3.931,0.21102,1.13299,0.33861,0.45727,0.29066,0.07267,2015,4.2028,0.380473,-0.2717999999999998,-1.3445885878713422
